task,task_no,source
advise customers on product usage to improve production.,Gi kunder råd om produktbruk for å bedre produksjonen.,manual 2026-09-07
"attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.","Delta på salgs- eller bransjemøter eller lese fagpublikasjoner for å skaffe informasjon om markedsforhold, forretningstrender, miljøregelverk og utviklingen i bransjen.",manual 2026-09-07
confer with customers and engineers to assess equipment needs and to determine system requirements.,Rådføre seg med kunder og ingeniører for å vurdere utstyrsbehov og fastsette systemkrav.,manual 2026-09-07
recommend new equipment or software packages.,Anbefale nytt utstyr eller nye programvarepakker.,manual 2026-09-07
"evaluate factors such as reporting formats required, cost constraints, or need for security restrictions to determine hardware configuration.","Vurdere faktorer som nødvendige rapportformater, kostnadsrammer og behov for sikkerhetsbegrensninger for å fastsette maskinvarekonfigurasjon.",manual 2026-09-07
"provide clear, detailed descriptions of web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.","Gi klare og detaljerte beskrivelser av nettstedsspesifikasjoner som produktfunksjoner, aktiviteter, programvare, kommunikasjonsprotokoller, programmeringsspråk, operativsystemer og maskinvare.",manual 2026-09-07
"design and implement web site security measures, such as firewalls or message encryption.","Utforme og innføre sikkerhetstiltak for nettsteder, som brannmurer eller kryptering av meldinger.",manual 2026-09-07
"research, document, rate, or select alternatives for web architecture or technologies.","Undersøke, dokumentere, vurdere eller velge alternativer for webarkitektur eller webteknologi.",manual 2026-09-07
collaborate with computer manufacturers and other users to develop new programming methods.,Samarbeide med datamaskinprodusenter og andre brukere om å utvikle nye programmeringsmetoder.,manual 2026-09-07
write or contribute to instructions or manuals to guide end users.,Skrive eller bidra til veiledninger eller håndbøker for sluttbrukere.,manual 2026-09-07
consult with multiple stakeholders to define requirements and implement online features.,Rådføre seg med ulike interessenter for å definere krav og innføre nettfunksjoner.,manual 2026-09-07
"search electronic sources, such as databases or repositories, or manual sources for information.","Søke etter informasjon i elektroniske kilder som databaser og arkiver, eller i manuelle kilder.",manual 2026-09-07
"develop transactional web applications, using web programming software and knowledge of programming languages, such as hypertext markup language (html) and extensible markup language (xml).",Utvikle transaksjonsbaserte nettapplikasjoner ved hjelp av webprogrammeringsverktøy og kunnskap om språk som HTML og XML.,manual 2026-09-07
provide technical guidance or support for the development or troubleshooting of systems.,Gi teknisk veiledning eller støtte ved utvikling eller feilsøking av systemer.,manual 2026-09-07
"design databases to support business applications, ensuring system scalability, security, performance and reliability.","Utforme databaser som støtter forretningsapplikasjoner, og sikre skalerbarhet, sikkerhet, ytelse og pålitelighet.",manual 2026-09-07
"determine supplementary virtual features, such as currency, item catalog, menu design, and audio direction.","Fastsette supplerende virtuelle funksjoner som valuta, gjenstandskatalog, menydesign og lydregi.",manual 2026-09-07
evaluate or recommend software for testing or bug tracking.,Vurdere eller anbefale programvare for testing eller feilsporing.,manual 2026-09-07
identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management.,Identifisere og vurdere bransjetrender innen databasesystemer for å være en kilde til informasjon og råd for toppledelsen.,manual 2026-09-07
"establish and calculate optimum values for database parameters, using manuals and calculator.",Fastsette og beregne optimale verdier for databaseparametere ved hjelp av håndbøker og kalkulator.,manual 2026-09-07
"research new technologies by attending seminars, reading trade articles, or taking classes, and implement or recommend the implementation of new technologies.","Undersøke ny teknologi gjennom seminarer, fagartikler eller kurs, og innføre eller anbefale innføring av ny teknologi.",manual 2026-09-07
"recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.","Anbefale endringer som forbedrer system- og nettverkskonfigurasjoner, og fastsette hvilke maskin- eller programvarekrav endringene medfører.",manual 2026-09-07
"instruct in use of voice, video, and data communications systems.","Gi opplæring i bruk av tale-, video- og datakommunikasjonssystemer.",manual 2026-09-07
"prepare detailed network specifications, including diagrams, charts, equipment configurations, or recommended technologies.","Utarbeide detaljerte nettverksspesifikasjoner med diagrammer, oversikter, utstyrskonfigurasjoner og anbefalte teknologier.",manual 2026-09-07
"communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.","Kontakte teleleverandører for å innhente priser og tekniske spesifikasjoner for tilgjengelig maskinvare, programvare eller tjenester.",manual 2026-09-07
"develop and write procedures for installation, use, or troubleshooting of communications hardware or software.","Utvikle og skrive prosedyrer for installasjon, bruk og feilsøking av kommunikasjonsmaskinvare og -programvare.",manual 2026-09-07
prepare design presentations and proposals for staff or customers.,Utarbeide designpresentasjoner og forslag til ansatte eller kunder.,manual 2026-09-07
"consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.","Rådføre seg med brukere, administratorer og ingeniører for å kartlegge forretningsmessige og tekniske krav til foreslåtte systemendringer eller teknologiinnkjøp.",manual 2026-09-07
"prepare legal briefs and opinions, and file appeals in state and federal courts of appeal.","Utarbeide prosesskriv og juridiske betenkninger, og inngi anker til delstatlige og føderale ankedomstoler.",manual 2026-09-07
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.","Gi klienter råd om forretningstransaksjoner, erstatningsansvar, om det er tilrådelig å reise eller forsvare søksmål, og om juridiske rettigheter og plikter.",manual 2026-09-07
"prepare and draft legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.","Utarbeide juridiske dokumenter som testamenter, skjøter, patentsøknader, pantedokumenter, leiekontrakter og avtaler.",manual 2026-09-07
